product_name,our_price,category,current_stock,restock_threshold,
"Organic Coffee Beans (1lb)",14.99,Beverages,45,25
"Premium Green Tea (50 bags)",8.99,Beverages,32,20
"Masala Chai Mix (12oz)",9.99,beverages,18,15
"Yerba Mate Loose Leaf (1lb)",$12.99,Beverages,5,10
"Hot Chocolate Mix (1lb)",7.99,Beverages,50,30
"Earl Grey Tea (100 bags)",11.99,beverages,28,25
"Espresso Beans (1lb)",16.99,Beverages,22,20
"Chamomile Tea (30 bags)",6.99,Tea,12,15
"Matcha Green Tea Powder (4oz)",19.99,Beverages,8,,
"Decaf Coffee Beans (1lb)",15.99,Beverages,15,15
"Mint Tea (25 bags)",7.49,Beverages,out of stock,12,
"Instant Coffee (8oz)",11.99,coffee,25,20
"Rooibos Tea (40 bags)",,Beverages,30,20
"cold brew concentrate",13.99,Beverages,19,15